task_id;instrument;pomieszczenie;pozycja;typ;typ_kod;LSD_L;LSD_R;LSD_avg;ILD_error_avg;LSD_63-125Hz;LSD_125-250Hz;LSD_250-500Hz;LSD_500-1000Hz;LSD_1000-2000Hz;LSD_2000-4000Hz;LSD_4000-8000Hz;LSD_8000-16000Hz;LSD_16000-24000Hz;ILD_err_63-125Hz;ILD_err_125-250Hz;ILD_err_250-500Hz;ILD_err_500-1000Hz;ILD_err_1000-2000Hz;ILD_err_2000-4000Hz;ILD_err_4000-8000Hz;ILD_err_8000-16000Hz;ILD_err_16000-24000Hz
8;Flet;Studio;Lewe ucho;Auralizacja 48 kHz;aur48;26.836;28.767;27.801;1.603;10.795;11.701;10.939;18.672;16.384;15.053;14.6;26.892;36.543;0.49;0.216;0.243;0.111;1.37;0.534;0.964;2.811;7.691
8;Flet;Studio;Lewe ucho;Auralizacja 24 kHz;aur24;38.27;37.902;38.086;1.106;10.796;11.695;10.938;18.671;16.384;15.052;14.599;39.311;50.517;0.491;0.216;0.244;0.113;1.371;0.535;0.964;2.744;3.272
8;Flet;Studio;Lewe ucho;Auralizacja 12 kHz;aur12;48.38;45.987;47.183;1.277;10.796;11.701;10.941;18.672;16.386;15.055;34.045;58.096;50.765;0.491;0.216;0.246;0.105;1.367;0.537;0.888;3.96;3.685
8;Flet;Studio;Lewe ucho;Kotwica (mono);anchor;26.871;25.394;26.133;3.813;11.308;14.394;11.433;18.505;16.842;15.897;14.82;24.829;34.039;1.326;2.042;1.838;4.94;4.449;4.763;5.971;8.522;0.465
9;Saksofon;Studio;Lewe ucho;Auralizacja 48 kHz;aur48;30.906;32.211;31.559;2.856;10.414;12.306;19.836;21.314;19.183;18.342;19.107;32.45;39.091;0.439;2.533;2.988;2.691;0.729;2.255;2.84;3.512;7.715
9;Saksofon;Studio;Lewe ucho;Auralizacja 24 kHz;aur24;36.821;36.228;36.524;2.354;10.416;12.305;19.836;21.311;19.181;18.343;19.105;39.632;45.017;0.439;2.533;2.987;2.691;0.727;2.254;2.839;3.469;3.251
9;Saksofon;Studio;Lewe ucho;Auralizacja 12 kHz;aur12;44.209;41.97;43.089;2.669;10.414;12.306;19.834;21.311;19.182;18.343;35.216;51.959;45.042;0.439;2.533;2.986;2.689;0.732;2.254;2.842;5.943;3.607
9;Saksofon;Studio;Lewe ucho;Kotwica (mono);anchor;31.231;29.605;30.418;3.602;9.194;13.381;19.699;21.423;19.069;18.57;18.885;30.918;37.636;0.69;2.04;2.471;3.004;3.615;3.505;5.581;11.029;0.482
10;Akordeon;Korytarz ZEA;Oddalone;Auralizacja 48 kHz;aur48;32.698;32.732;32.715;1.453;22.862;14.081;12.817;14.662;13.096;9.978;13.672;34.979;42.412;1.578;2.735;1.318;0.878;1.949;0.092;1.677;0.971;1.882
10;Akordeon;Korytarz ZEA;Oddalone;Auralizacja 24 kHz;aur24;36.043;35.914;35.978;1.41;22.868;14.084;12.818;14.657;13.091;9.98;13.67;41.498;44.416;1.578;2.735;1.318;0.878;1.949;0.093;1.677;0.975;1.487
10;Akordeon;Korytarz ZEA;Oddalone;Auralizacja 12 kHz;aur12;42.727;42.664;42.696;1.603;22.855;14.073;12.802;14.645;13.083;9.979;32.54;53.543;44.431;1.578;2.734;1.317;0.879;1.949;0.091;1.673;3.85;0.36
10;Akordeon;Korytarz ZEA;Oddalone;Kotwica (mono);anchor;32.92;32.713;32.817;1.652;20.329;12.766;12.034;14.968;12.995;9.985;13.758;35.183;42.508;2.808;0.603;2.232;0.864;0.38;1.708;3.213;0.388;2.672
